CASEID,recid,agearr10,agecxryg,agefhsdg,agegr10,agehsdyg,aprgrdif,ageprg10,sex,marstat,sexpr,prtypec,chh0014c,chinhsdc,cxr0014c,cxrflag,cxrtime6,parnum,livarr08,livarr11,fhsd,mhsd,agemhsdg,grfhsd,grmhsd,sonhsd,dauhsd,solhsdc,grsohsdc,grchhsdc,grdahsdc,brhsdc,brohsdc,sihsdc,ilhsdc,orelhsdc,unrlhsdc,hsdsizec,hsdeligc,multigen,mar_110,mar_133,mar_134,mar_135,mar_137,whw120gr,whw_230,whw_240,jsr_01gr,jsr_02,jsr_03,jsr_04,jsr_05,jsr_06,jsr_07,jsr_08,jsr_09,jsr_10,sfc_01,sfc_02,sfc_03,sfc_04gr,sfc_05,sfc_06,sfc_07,sfc_08,sfc_09,smg_01,smg_02,ttlincg2,famincg2
19037,19037,96,96,96,4, 6,11, 5,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,3, 1,6,6,2,96,2,6,6,2,3,2,2,1,2,6,6, 5,6, 4, 5, 5,3, 1,4,6
19038,19038,96,96,96,4, 6,96,96,2,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 1,2,1,6,2,3, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,2, 1,2,2
19039,19039,96,96,96,6, 7, 8, 6,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,1,96,2,2
19040,19040,96, 5,96,4, 3,96,96,2,4,6,0,0,1,0,1,1,0,5, 6,2,2,96,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,2, 2,6,6,1,96,2,6,6,1,1,1,1,1,3,6,6, 5,6, 5, 5, 5,3, 5,1,5
19041,19041,96, 4,96,5, 2, 4, 4,2,1,1,1,0,3,0,1,1,0,5, 3,2,2,96,2,2,2,1,0,0,0,0,0,0,0,0,0,0,5,4,2, 1,1,6,6,6,2, 1,6,6,1,96,2,6,6,2,3,2,2,4,6,2,6, 5,6, 5, 5, 5,2, 5,3,6
19042,19042,96,96,96,5, 6,11, 5,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,2, 1,6,1,6,96,2,6,6,6,6,1,1,6,6,6,6,96,6,96,96,96,3, 6,2,5
19043,19043,96,96,96,6, 7, 5, 5,1,2,2,2,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,2, 6,3,4
19044,19044,96, 2,96,2, 1, 2, 2,1,2,2,2,1,1,1,1,3,0,5, 3,2,2,96,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2, 1,1,6,6,6,4, 1,6,6,1,96,2,6,6,2,1,2,1,1,5,6,6, 4,6, 5, 5, 6,3, 2,1,2
19045,19045, 1, 4,96,4, 2, 8, 4,1,1,2,1,0,2,0,1,4,0,5, 3,2,2,96,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,2, 1,1,6,6,6,3, 1,6,1,6,96,2,6,6,6,6,2,1,6,6,6,6,96,6,96,96,96,2, 3,6,6
19046,19046,96,96,96,5, 6, 8, 5,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,3, 1,6,6,2,96,2,6,6,1,2,1,1,2,3,6,6, 5,6, 5, 5, 5,4, 1,6,6
19047,19047,96,96,96,3, 4,96,96,1,6,6,0,0,0,0,2,1,1,7, 9,2,1, 5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,3, 1,6,6,2,96,2,6,6,3,4,3,2,2,4,6,6, 4,6, 4, 4, 6,3, 3,3,5
19048,19048,96, 1,96,3, 1, 6, 3,1,1,2,1,1,1,1,1,2,0,5, 3,2,2,96,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2, 1,1,6,6,6,3, 1,6,6,2,96,2,6,6,1,2,3,2,3,4,6,6, 4,6, 5, 4, 6,2, 2,4,5
19049,19049, 4, 3,96,5, 2, 2, 4,1,1,2,1,1,1,1,1,4,0,5, 3,2,2,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2, 1,1,6,6,6,4, 1,6,1,6,96,2,6,6,6,6,1,1,6,6,6,6,96,6,96,96,96,3, 5,4,6
19050,19050,96, 5,96,5, 3, 2, 5,1,1,2,1,0,2,0,1,1,0,5, 3,2,2,96,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,2, 1,1,6,6,6,3, 1,6,6,1,96,2,6,6,1,1,2,1,1,3,6,6, 3,6, 4, 4, 4,2, 2,4,6
19051,19051,96, 2, 4,2, 1,96,96,1,6,6,0,1,1,1,1,3,1,8, 6,1,2,96,2,2,0,1,0,0,0,0,1,1,0,0,0,0,4,3,1, 1,2,1,6,6,3, 2,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,2, 2,1,4
19052,19052,96, 2,96,3, 1, 8, 3,1,1,2,1,2,2,2,1,3,0,5, 3,2,2,96,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4,2,2, 1,1,6,6,6,3, 1,6,6,1,96,2,6,6,2,3,2,2,2,4,6,6, 5,6, 5, 5, 5,3, 2,3,6
19053,19053,96,96,96,2, 3, 9, 2,2,2,1,2,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,3, 1,6,6,3,96,1,5,1,4,4,4,3,2,3,6,6, 2,1, 4, 4, 6,3, 2,2,6
